{'n_target': 10000, 'pi_target': 0.3, 'iter': 1, 'acc-pilot-test': 0.9659000039100647, 'acc-pilot-train': 0.9819999933242798, 'acc-rw-test': 0.973800003528595, 'acc-rw-train': 0.9900000095367432, 'acc-ls-test': 0.9595999717712402, 'acc-ls-train': 0.9678999781608582, 'acc-oracle': 0.9659000039100647, 'gold-standard': 0.9789999723434448}
{'n_target': 20000, 'pi_target': 0.2, 'iter': 12, 'acc-pilot-test': 0.9643999934196472, 'acc-pilot-train': 0.9908999800682068, 'acc-rw-test': 0.975849986076355, 'acc-rw-train': 0.9873499870300293, 'acc-ls-test': 0.9750499725341797, 'acc-ls-train': 0.982450008392334, 'acc-oracle': 0.9643999934196472, 'gold-standard': 0.9769999980926514}
{'n_target': 20000, 'pi_target': 0.5, 'iter': 14, 'acc-pilot-test': 0.9760000109672546, 'acc-pilot-train': 0.9933500289916992, 'acc-rw-test': 0.9727500081062317, 'acc-rw-train': 0.9926499724388123, 'acc-ls-test': 0.9760000109672546, 'acc-ls-train': 0.9933500289916992, 'acc-oracle': 0.9760000109672546, 'gold-standard': 0.9779999852180481}
{'n_target': 500, 'pi_target': 0.4, 'iter': 2, 'acc-pilot-test': 0.9620000123977661, 'acc-pilot-train': 0.9881500005722046, 'acc-rw-test': 0.9700000286102295, 'acc-rw-train': 0.9956499934196472, 'acc-ls-test': 0.9639999866485596, 'acc-ls-train': 0.9884999990463257, 'acc-oracle': 0.9620000123977661, 'gold-standard': 0.9710000157356262}
{'n_target': 20000, 'pi_target': 0.3, 'iter': 15, 'acc-pilot-test': 0.9731000065803528, 'acc-pilot-train': 0.9857500195503235, 'acc-rw-test': 0.9711999893188477, 'acc-rw-train': 0.9921500086784363, 'acc-ls-test': 0.9624500274658203, 'acc-ls-train': 0.9642999768257141, 'acc-oracle': 0.9731000065803528, 'gold-standard': 0.9620000123977661}
{'n_target': 5000, 'pi_target': 0.2, 'iter': 1, 'acc-pilot-test': 0.9724000096321106, 'acc-pilot-train': 0.9911500215530396, 'acc-rw-test': 0.9747999906539917, 'acc-rw-train': 0.9939500093460083, 'acc-ls-test': 0.9757999777793884, 'acc-ls-train': 0.9746000170707703, 'acc-oracle': 0.9724000096321106, 'gold-standard': 0.9750000238418579}
{'n_target': 10000, 'pi_target': 0.2, 'iter': 16, 'acc-pilot-test': 0.9682000279426575, 'acc-pilot-train': 0.9919000267982483, 'acc-rw-test': 0.9758999943733215, 'acc-rw-train': 0.9891999959945679, 'acc-ls-test': 0.9743000268936157, 'acc-ls-train': 0.9855499863624573, 'acc-oracle': 0.9682000279426575, 'gold-standard': 0.9819999933242798}
{'n_target': 20000, 'pi_target': 0.3, 'iter': 0, 'acc-pilot-test': 0.9660000205039978, 'acc-pilot-train': 0.9891499876976013, 'acc-rw-test': 0.9749500155448914, 'acc-rw-train': 0.9914000034332275, 'acc-ls-test': 0.965499997138977, 'acc-ls-train': 0.9836500287055969, 'acc-oracle': 0.9660000205039978, 'gold-standard': 0.9769999980926514}
{'n_target': 5000, 'pi_target': 0.2, 'iter': 2, 'acc-pilot-test': 0.9638000130653381, 'acc-pilot-train': 0.9901999831199646, 'acc-rw-test': 0.978600025177002, 'acc-rw-train': 0.9903500080108643, 'acc-ls-test': 0.973800003528595, 'acc-ls-train': 0.9821500182151794, 'acc-oracle': 0.9638000130653381, 'gold-standard': 0.9750000238418579}
{'n_target': 10000, 'pi_target': 0.3, 'iter': 12, 'acc-pilot-test': 0.9739000201225281, 'acc-pilot-train': 0.9897500276565552, 'acc-rw-test': 0.972100019454956, 'acc-rw-train': 0.9918500185012817, 'acc-ls-test': 0.9754999876022339, 'acc-ls-train': 0.982699990272522, 'acc-oracle': 0.9739000201225281, 'gold-standard': 0.9750000238418579}
